lab_id,model_id,model_expression,anger,disgust,fear,happiness,sadness,surprise,other
MF0023,0005,surprise,0.011494252873563218,NA,NA,0.40229885057471265,NA,0.5517241379310345,0.034482758620689655
MF0023,0006,anger,0.20224719101123595,NA,0.06741573033707865,0.02247191011235955,0.14606741573033707,NA,0.5617977528089888
MF0023,0006,disgust,0.041237113402061855,0.5257731958762887,0.010309278350515464,0.18556701030927836,0.05154639175257732,0.030927835051546393,0.15463917525773196
MF0023,0006,fear,NA,0.023255813953488372,0.1511627906976744,0.13953488372093023,0.046511627906976744,0.5,0.13953488372093023
MF0023,0006,happiness,NA,0.017543859649122806,NA,0.9824561403508771,NA,NA,NA
MF0023,0006,sadness,0.08247422680412371,0.14432989690721648,0.010309278350515464,0.13402061855670103,0.3711340206185567,0.010309278350515464,0.24742268041237114
MF0023,0006,surprise,0.06896551724137931,0.4482758620689655,0.011494252873563218,0.27586206896551724,0.08045977011494253,0.011494252873563218,0.10344827586206896
MF0023,0007,anger,0.5402298850574713,0.14942528735632185,0.04597701149425287,NA,0.11494252873563218,0.09195402298850575,0.05747126436781609
MF0023,0007,disgust,0.07865168539325842,0.8539325842696629,0.02247191011235955,0.011235955056179775,NA,0.02247191011235955,0.011235955056179775
MF0023,0007,fear,NA,0.010309278350515464,0.061855670103092786,NA,NA,0.9175257731958762,0.010309278350515464
MF0023,0007,happiness,NA,NA,NA,0.9883720930232558,NA,0.011627906976744186,NA
MF0023,0007,sadness,0.043859649122807015,0.05263157894736842,0.02631578947368421,0.008771929824561403,0.8421052631578947,NA,0.02631578947368421
MF0023,0007,surprise,NA,0.010309278350515464,0.010309278350515464,0.020618556701030927,NA,0.9381443298969072,0.020618556701030927
MF0023,0008,anger,0.3448275862068966,0.16091954022988506,0.09195402298850575,NA,0.2413793103448276,0.05747126436781609,0.10344827586206896
MF0023,0008,disgust,0.0449438202247191,0.9325842696629213,NA,NA,0.011235955056179775,NA,0.011235955056179775
MF0023,0008,fear,0.26804123711340205,0.18556701030927836,0.10309278350515463,0.010309278350515464,0.15463917525773196,0.17525773195876287,0.10309278350515463
MF0023,0008,happiness,NA,0.011627906976744186,NA,0.9767441860465116,0.011627906976744186,NA,NA
MF0023,0008,sadness,0.06140350877192982,0.34210526315789475,0.017543859649122806,0.008771929824561403,0.5087719298245614,0.02631578947368421,0.03508771929824561
MF0023,0008,surprise,NA,0.010309278350515464,NA,0.020618556701030927,NA,0.9587628865979382,0.010309278350515464
MF0023,0009,anger,0.7701149425287356,0.05747126436781609,0.034482758620689655,0.034482758620689655,NA,0.06896551724137931,0.034482758620689655
MF0023,0009,disgust,0.11235955056179775,0.8314606741573034,NA,0.011235955056179775,0.033707865168539325,NA,0.011235955056179775
MF0023,0009,fear,NA,NA,NA,0.20618556701030927,NA,0.7938144329896907,NA
MF0023,0009,happiness,NA,NA,NA,0.9767441860465116,0.011627906976744186,NA,0.011627906976744186
MF0023,0009,sadness,0.03508771929824561,0.06140350877192982,0.03508771929824561,0.008771929824561403,0.41228070175438597,0.14035087719298245,0.30701754385964913
MF0023,0009,surprise,0.010309278350515464,0.09278350515463918,0.41237113402061853,0.010309278350515464,0.020618556701030927,0.4329896907216495,0.020618556701030927
MF0023,0010,anger,0.2413793103448276,0.034482758620689655,0.04597701149425287,0.011494252873563218,0.3563218390804598,0.011494252873563218,0.2988505747126437
MF0023,0010,disgust,NA,0.16853932584269662,0.056179775280898875,0.6067415730337079,0.033707865168539325,0.02247191011235955,0.11235955056179775
MF0023,0010,fear,0.030927835051546393,0.010309278350515464,0.20618556701030927,0.030927835051546393,0.05154639175257732,0.44329896907216493,0.2268041237113402
MF0023,0010,happiness,0.011627906976744186,0.011627906976744186,NA,0.8255813953488372,NA,NA,0.1511627906976744
MF0023,0010,sadness,0.05263157894736842,0.008771929824561403,0.08771929824561403,0.02631578947368421,0.2807017543859649,0.08771929824561403,0.45614035087719296
MF0023,0010,surprise,0.041237113402061855,0.030927835051546393,0.15463917525773196,0.010309278350515464,0.05154639175257732,0.5360824742268041,0.17525773195876287
MF0024,0001,anger,0.39080459770114945,0.12643678160919541,0.04597701149425287,NA,0.3333333333333333,0.022988505747126436,0.08045977011494253
MF0024,0001,disgust,0.449438202247191,0.15730337078651685,0.011235955056179775,NA,0.2247191011235955,0.02247191011235955,0.1348314606741573
MF0024,0001,fear,0.041237113402061855,0.030927835051546393,0.05154639175257732,0.030927835051546393,0.15463917525773196,0.32989690721649484,0.36082474226804123
MF0024,0001,happiness,0.011627906976744186,0.03488372093023256,0.011627906976744186,0.813953488372093,0.046511627906976744,0.011627906976744186,0.06976744186046512
MF0024,0001,sadness,0.21052631578947367,0.08771929824561403,0.02631578947368421,NA,0.42105263157894735,0.02631578947368421,0.22807017543859648
MF0024,0001,surprise,0.07216494845360824,0.10309278350515463,0.09278350515463918,0.020618556701030927,0.16494845360824742,0.25773195876288657,0.28865979381443296
MF0024,0002,anger,0.12643678160919541,0.5632183908045977,0.13793103448275862,NA,0.11494252873563218,0.022988505747126436,0.034482758620689655
MF0024,0002,disgust,NA,0.3595505617977528,0.2247191011235955,0.011235955056179775,0.38202247191011235,0.02247191011235955,NA
MF0024,0002,fear,0.030927835051546393,0.25773195876288657,0.4742268041237113,0.030927835051546393,0.041237113402061855,0.13402061855670103,0.030927835051546393
MF0024,0002,happiness,NA,NA,NA,1,NA,NA,NA
