lab_id,model_id,model_expression,anger,disgust,fear,happiness,sadness,surprise,other,mean_intensity_rating
MF0004,0005,surprise,0.017543859649122806,NA,0.03508771929824561,0.37719298245614036,0.05263157894736842,0.21929824561403508,0.2982456140350877,2.2976190476190474
MF0004,0006,anger,0.4948453608247423,0.10309278350515463,0.061855670103092786,0.041237113402061855,0.10309278350515463,NA,0.1958762886597938,3.5238095238095237
MF0004,0006,disgust,0.05747126436781609,0.5977011494252874,0.022988505747126436,0.16091954022988506,NA,0.08045977011494253,0.08045977011494253,4.516483516483516
MF0004,0006,fear,0.022727272727272728,0.03409090909090909,0.022727272727272728,0.14772727272727273,0.03409090909090909,0.4090909090909091,0.32954545454545453,2.2777777777777777
MF0004,0006,happiness,NA,NA,NA,0.9587628865979382,NA,0.020618556701030927,0.020618556701030927,4.78021978021978
MF0004,0006,sadness,0.03488372093023256,0.011627906976744186,0.03488372093023256,0.5348837209302325,0.09302325581395349,0.16279069767441862,0.12790697674418605,1.9029126213592233
MF0004,0006,surprise,NA,NA,NA,0.35964912280701755,NA,0.6228070175438597,0.017543859649122806,4.2976190476190474
MF0004,0007,anger,0.4536082474226804,0.3402061855670103,0.041237113402061855,NA,0.10309278350515463,0.05154639175257732,0.010309278350515464,4.511904761904762
MF0004,0007,disgust,0.022988505747126436,0.8850574712643678,0.011494252873563218,NA,0.06896551724137931,0.011494252873563218,NA,5.835164835164835
MF0004,0007,fear,0.14772727272727273,0.13636363636363635,0.09090909090909091,NA,0.3181818181818182,0.11363636363636363,0.19318181818181818,3.488888888888889
MF0004,0007,happiness,NA,NA,NA,1,NA,NA,NA,6
MF0004,0007,sadness,0.11627906976744186,0.22093023255813954,0.08139534883720931,NA,0.4418604651162791,0.03488372093023256,0.10465116279069768,4.427184466019417
MF0004,0007,surprise,NA,0.02631578947368421,0.10526315789473684,0.05263157894736842,0.008771929824561403,0.7543859649122807,0.05263157894736842,3.1785714285714284
MF0004,0008,anger,0.38144329896907214,0.020618556701030927,0.030927835051546393,0.030927835051546393,0.18556701030927836,0.061855670103092786,0.28865979381443296,3.3214285714285716
MF0004,0008,disgust,0.21839080459770116,0.5057471264367817,0.022988505747126436,0.034482758620689655,0.12643678160919541,0.011494252873563218,0.08045977011494253,3.5274725274725274
MF0004,0008,fear,0.14772727272727273,0.011363636363636364,0.056818181818181816,0.011363636363636364,0.22727272727272727,0.03409090909090909,0.5113636363636364,2.411111111111111
MF0004,0008,happiness,0.010309278350515464,NA,0.010309278350515464,0.9278350515463918,0.010309278350515464,0.010309278350515464,0.030927835051546393,3.5494505494505493
MF0004,0008,sadness,0.05813953488372093,0.011627906976744186,0.06976744186046512,0.19767441860465115,0.3953488372093023,0.046511627906976744,0.22093023255813954,3.3980582524271843
MF0004,0008,surprise,0.008771929824561403,0.03508771929824561,NA,0.631578947368421,0.008771929824561403,0.20175438596491227,0.11403508771929824,2.2857142857142856
MF0004,0009,anger,0.5670103092783505,0.061855670103092786,0.041237113402061855,NA,0.1134020618556701,0.061855670103092786,0.15463917525773196,3.4166666666666665
MF0004,0009,disgust,0.04597701149425287,0.3793103448275862,0.1839080459770115,NA,0.3448275862068966,0.04597701149425287,NA,5.3076923076923075
MF0004,0009,fear,0.18181818181818182,0.09090909090909091,0.26136363636363635,NA,0.09090909090909091,0.32954545454545453,0.045454545454545456,4.355555555555555
MF0004,0009,happiness,NA,NA,NA,0.9896907216494846,NA,NA,0.010309278350515464,5.56043956043956
MF0004,0009,sadness,0.08139534883720931,0.09302325581395349,0.13953488372093023,NA,0.5465116279069767,0.06976744186046512,0.06976744186046512,4.776699029126213
MF0004,0009,surprise,NA,0.02631578947368421,0.07017543859649122,0.06140350877192982,NA,0.8333333333333334,0.008771929824561403,4.5
MF0004,0010,anger,0.32989690721649484,0.23711340206185566,0.061855670103092786,NA,0.07216494845360824,0.2268041237113402,0.07216494845360824,4.440476190476191
MF0004,0010,disgust,0.05747126436781609,0.45977011494252873,0.10344827586206896,NA,0.3448275862068966,0.034482758620689655,NA,4.945054945054945
MF0004,0010,fear,0.056818181818181816,0.056818181818181816,0.26136363636363635,0.022727272727272728,0.19318181818181818,0.1590909090909091,0.25,3.5
MF0004,0010,happiness,NA,0.010309278350515464,0.010309278350515464,0.9381443298969072,NA,0.010309278350515464,0.030927835051546393,4.186813186813187
MF0004,0010,sadness,0.023255813953488372,0.1511627906976744,0.03488372093023256,NA,0.6976744186046512,0.023255813953488372,0.06976744186046512,5.087378640776699
MF0004,0010,surprise,0.02631578947368421,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.9122807017543859,0.02631578947368421,5.369047619047619
MF0005,0001,anger,0.31958762886597936,0.17525773195876287,0.030927835051546393,NA,0.21649484536082475,0.030927835051546393,0.2268041237113402,3.75
