lab_id,model_id,std_ang,std_dis,std_fea,std_hap,std_neu,std_sad,std_sur,unstd_neu,age,ethnicity,ethnicity_rec,face_shape,face_shape-specific,gender,gender_rec,height,height_units,height_cm,weight,weight_units,weight_kg,makeup_blush,makeup_concealer,makeup_eyebrow,makeup_eyelashes,makeup_eyes,makeup_foundation,makeup_lips,makeup_permanent,makeup_semipermanent,memorable,dominant,attractive,trustworthy,gender-typical,attractive (unstd),trustworthy (unstd),dominant (unstd)
MF0005,0001,1,1,1,1,1,1,1,1,29,branco,White,1,NA,homem,male,183,cm,183,85,kg,85,1,1,1,1,1,1,1,1,1,4.0843373493975905,4.702127659574468,3.211764705882353,3.6853932584269664,5.7176470588235295,3.2142857142857144,3.6931818181818183,4.40625
MF0005,0002,1,1,1,1,1,1,1,1,27,parda,Mixed,1,NA,mulher,female,161,cm,161,48,kg,48,1,1,1,1,1,2,1,2,1,4.216867469879518,4.01063829787234,4.411764705882353,4.573033707865169,5.3764705882352946,4.583333333333333,4.875,3.5416666666666665
MF0005,0003,1,1,1,1,1,1,1,1,20,pardo,Mixed,1,NA,homem,male,66,cm,167.64,68,kg,68,1,1,1,1,1,1,1,1,1,4.626506024096385,4.351063829787234,4.364705882352941,4.426966292134831,5.7176470588235295,4.392857142857143,4.818181818181818,4.072916666666667
MF0005,0004,1,1,1,1,1,1,1,1,29,pardo,Mixed,1,NA,homem,male,175,cm,175,87,kg,87,1,1,1,1,1,1,1,1,1,4.024096385542169,4.382978723404255,3.5294117647058822,4.269662921348314,5.847058823529411,3.3452380952380953,4.306818181818182,4.322916666666667
MF0005,0005,1,1,1,1,1,1,1,1,20,branco,White,1,NA,homem,male,176,cm,176,71,kg,71,1,1,1,1,1,1,1,1,1,3.8795180722891565,3.9680851063829787,2.976470588235294,3.966292134831461,5.4,3.0714285714285716,4.2727272727272725,3.4166666666666665
MF0005,0006,1,1,1,1,1,1,1,1,31,parda,Mixed,1,NA,mulher,female,172,cm,172,67,kg,67,1,1,1,1,1,1,2,1,1,4.096385542168675,3.6914893617021276,2.976470588235294,3.898876404494382,4.341176470588235,3.0238095238095237,4.181818181818182,3.8333333333333335
MF0005,0007,1,1,1,1,1,1,1,1,26,branca,White,2,Uso aparelho ortodÃ´ntico,mulher,female,173,cm,173,90,kg,90,1,1,1,1,1,1,1,1,1,4.674698795180723,4.170212765957447,3.2705882352941176,3.5168539325842696,4.4,3.3333333333333335,3.5113636363636362,4.302083333333333
MF0005,0008,1,1,1,1,1,1,1,1,27,pardo,Mixed,1,NA,homem,male,166,cm,166,80,kg,80,1,1,1,1,1,1,1,1,1,3.6506024096385543,3.9468085106382977,3.2,4.202247191011236,5.223529411764706,3.107142857142857,4,3.9375
MF0005,0009,1,1,1,1,1,1,1,1,22,preta,Black,2,Aparelho ortodÃ´ntico.,mulher,female,160,cm,160,49,kg,49,1,1,1,1,1,1,1,2,1,4.542168674698795,4.627659574468085,3.4235294117647057,4.044943820224719,4.976470588235294,3.857142857142857,4.295454545454546,4.229166666666667
MF0005,0010,1,1,1,1,1,1,1,1,27,pardo,Mixed,1,NA,homem,male,75,cm,190.5,97,kg,97,1,1,1,1,1,1,1,1,1,3.9036144578313254,3.893617021276596,3.3058823529411763,4.449438202247191,5.470588235294118,3.1666666666666665,4.465909090909091,3.6666666666666665
MF0006,0001,1,1,0,0,0,0,0,1,41,pardo - mixed race,Mixed,1,nÃ£o,masculino,male,176,cm,176,86,kg,86,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,2.4523809523809526,3.022727272727273,4.59375
MF0006,0002,1,1,1,1,1,1,1,1,22,branco,White,1,NA,"sexo feminino, gãªnero fluido",non-binary,174,cm,174,78,kg,78,1,1,1,1,1,1,1,1,1,4.0602409638554215,3.978723404255319,3.011764705882353,3.898876404494382,4.576470588235294,2.9642857142857144,4.0227272727272725,3.8541666666666665
