session_id,project_id,quest_name,quest_id,user_id,user_sex,user_status,user_age,q_name,q_id,order,dv,starttime,endtime
155738,1136,ManyFace Pilot Ratings - rater demographics,7875,131577,NA,guest,0,age,92865400,2,26,2025-05-06T11:36:50Z,2025-05-06T11:37:27Z
155738,1136,ManyFace Pilot Ratings - rater demographics,7875,131577,NA,guest,0,residence,92865401,3,GB,2025-05-06T11:36:50Z,2025-05-06T11:37:27Z
155738,1136,ManyFace Pilot Ratings - rater demographics,7875,131577,NA,guest,0,ethnicity,92865402,4,White British,2025-05-06T11:36:50Z,2025-05-06T11:37:27Z
155738,1136,ManyFace Pilot Ratings - rater demographics,7875,131577,NA,guest,0,device,92865411,5,desktop,2025-05-06T11:36:50Z,2025-05-06T11:37:27Z
155738,1136,ManyFace Pilot Ratings - rater demographics,7875,131577,NA,guest,0,try,92865403,6,2,2025-05-06T11:36:50Z,2025-05-06T11:37:27Z
155739,1136,ManyFace Pilot Ratings - rater demographics,7875,131579,NA,guest,0,gender,92865399,1,male,2025-05-06T11:32:26Z,2025-05-06T11:32:49Z
155739,1136,ManyFace Pilot Ratings - rater demographics,7875,131579,NA,guest,0,age,92865400,2,30,2025-05-06T11:32:26Z,2025-05-06T11:32:49Z
155739,1136,ManyFace Pilot Ratings - rater demographics,7875,131579,NA,guest,0,residence,92865401,3,DE,2025-05-06T11:32:26Z,2025-05-06T11:32:49Z
155739,1136,ManyFace Pilot Ratings - rater demographics,7875,131579,NA,guest,0,ethnicity,92865402,4,white,2025-05-06T11:32:26Z,2025-05-06T11:32:49Z
155739,1136,ManyFace Pilot Ratings - rater demographics,7875,131579,NA,guest,0,device,92865411,5,desktop,2025-05-06T11:32:26Z,2025-05-06T11:32:49Z
155739,1136,ManyFace Pilot Ratings - rater demographics,7875,131579,NA,guest,0,try,92865403,6,2,2025-05-06T11:32:26Z,2025-05-06T11:32:49Z
155740,1136,ManyFace Pilot Ratings - rater demographics,7875,131578,NA,guest,0,gender,92865399,1,male,2025-05-06T11:38:45Z,2025-05-06T11:39:25Z
155740,1136,ManyFace Pilot Ratings - rater demographics,7875,131578,NA,guest,0,age,92865400,2,34,2025-05-06T11:38:45Z,2025-05-06T11:39:25Z
155740,1136,ManyFace Pilot Ratings - rater demographics,7875,131578,NA,guest,0,residence,92865401,3,GB,2025-05-06T11:38:45Z,2025-05-06T11:39:25Z
155740,1136,ManyFace Pilot Ratings - rater demographics,7875,131578,NA,guest,0,ethnicity,92865402,4,Black,2025-05-06T11:38:45Z,2025-05-06T11:39:25Z
155740,1136,ManyFace Pilot Ratings - rater demographics,7875,131578,NA,guest,0,device,92865411,5,laptop,2025-05-06T11:38:45Z,2025-05-06T11:39:25Z
155740,1136,ManyFace Pilot Ratings - rater demographics,7875,131578,NA,guest,0,try,92865403,6,2,2025-05-06T11:38:45Z,2025-05-06T11:39:25Z
155741,1136,ManyFace Pilot Ratings - rater demographics,7875,131580,NA,guest,0,gender,92865399,1,male,2025-05-06T11:39:22Z,2025-05-06T11:40:00Z
155741,1136,ManyFace Pilot Ratings - rater demographics,7875,131580,NA,guest,0,age,92865400,2,21,2025-05-06T11:39:22Z,2025-05-06T11:40:00Z
155741,1136,ManyFace Pilot Ratings - rater demographics,7875,131580,NA,guest,0,residence,92865401,3,KE,2025-05-06T11:39:22Z,2025-05-06T11:40:00Z
155741,1136,ManyFace Pilot Ratings - rater demographics,7875,131580,NA,guest,0,ethnicity,92865402,4,African,2025-05-06T11:39:22Z,2025-05-06T11:40:00Z
155741,1136,ManyFace Pilot Ratings - rater demographics,7875,131580,NA,guest,0,device,92865411,5,laptop,2025-05-06T11:39:22Z,2025-05-06T11:40:00Z
155741,1136,ManyFace Pilot Ratings - rater demographics,7875,131580,NA,guest,0,try,92865403,6,2,2025-05-06T11:39:22Z,2025-05-06T11:40:00Z
155742,1136,ManyFace Pilot Ratings - rater demographics,7875,131582,NA,guest,0,gender,92865399,1,male,2025-05-06T11:30:02Z,2025-05-06T11:30:34Z
155742,1136,ManyFace Pilot Ratings - rater demographics,7875,131582,NA,guest,0,age,92865400,2,43,2025-05-06T11:30:02Z,2025-05-06T11:30:34Z
155742,1136,ManyFace Pilot Ratings - rater demographics,7875,131582,NA,guest,0,residence,92865401,3,GB,2025-05-06T11:30:02Z,2025-05-06T11:30:34Z
155742,1136,ManyFace Pilot Ratings - rater demographics,7875,131582,NA,guest,0,ethnicity,92865402,4,White,2025-05-06T11:30:02Z,2025-05-06T11:30:34Z
155742,1136,ManyFace Pilot Ratings - rater demographics,7875,131582,NA,guest,0,device,92865411,5,laptop,2025-05-06T11:30:02Z,2025-05-06T11:30:34Z
155742,1136,ManyFace Pilot Ratings - rater demographics,7875,131582,NA,guest,0,try,92865403,6,2,2025-05-06T11:30:02Z,2025-05-06T11:30:34Z
155743,1136,ManyFace Pilot Ratings - rater demographics,7875,131583,NA,guest,0,gender,92865399,1,male,2025-05-06T11:30:57Z,2025-05-06T11:31:28Z
155743,1136,ManyFace Pilot Ratings - rater demographics,7875,131583,NA,guest,0,age,92865400,2,49,2025-05-06T11:30:57Z,2025-05-06T11:31:28Z
155743,1136,ManyFace Pilot Ratings - rater demographics,7875,131583,NA,guest,0,residence,92865401,3,GB,2025-05-06T11:30:57Z,2025-05-06T11:31:28Z
155743,1136,ManyFace Pilot Ratings - rater demographics,7875,131583,NA,guest,0,ethnicity,92865402,4,White British,2025-05-06T11:30:57Z,2025-05-06T11:31:28Z
155743,1136,ManyFace Pilot Ratings - rater demographics,7875,131583,NA,guest,0,device,92865411,5,laptop,2025-05-06T11:30:57Z,2025-05-06T11:31:28Z
155743,1136,ManyFace Pilot Ratings - rater demographics,7875,131583,NA,guest,0,try,92865403,6,2,2025-05-06T11:30:57Z,2025-05-06T11:31:28Z
155744,1136,ManyFace Pilot Ratings - rater demographics,7875,131581,NA,guest,0,gender,92865399,1,male,2025-05-06T11:32:33Z,2025-05-06T11:33:07Z
155744,1136,ManyFace Pilot Ratings - rater demographics,7875,131581,NA,guest,0,age,92865400,2,24,2025-05-06T11:32:33Z,2025-05-06T11:33:07Z
155744,1136,ManyFace Pilot Ratings - rater demographics,7875,131581,NA,guest,0,residence,92865401,3,GB,2025-05-06T11:32:33Z,2025-05-06T11:33:07Z
155744,1136,ManyFace Pilot Ratings - rater demographics,7875,131581,NA,guest,0,ethnicity,92865402,4,black,2025-05-06T11:32:33Z,2025-05-06T11:33:07Z
155744,1136,ManyFace Pilot Ratings - rater demographics,7875,131581,NA,guest,0,device,92865411,5,laptop,2025-05-06T11:32:33Z,2025-05-06T11:33:07Z
155744,1136,ManyFace Pilot Ratings - rater demographics,7875,131581,NA,guest,0,try,92865403,6,2,2025-05-06T11:32:33Z,2025-05-06T11:33:07Z
155745,1136,ManyFace Pilot Ratings - rater demographics,7875,131584,NA,guest,0,gender,92865399,1,female,2025-05-06T12:06:00Z,2025-05-06T12:06:25Z
155745,1136,ManyFace Pilot Ratings - rater demographics,7875,131584,NA,guest,0,age,92865400,2,40,2025-05-06T12:06:00Z,2025-05-06T12:06:25Z
155745,1136,ManyFace Pilot Ratings - rater demographics,7875,131584,NA,guest,0,residence,92865401,3,GB,2025-05-06T12:06:00Z,2025-05-06T12:06:25Z
155745,1136,ManyFace Pilot Ratings - rater demographics,7875,131584,NA,guest,0,ethnicity,92865402,4,White,2025-05-06T12:06:00Z,2025-05-06T12:06:25Z
155745,1136,ManyFace Pilot Ratings - rater demographics,7875,131584,NA,guest,0,device,92865411,5,laptop,2025-05-06T12:06:00Z,2025-05-06T12:06:25Z
155745,1136,ManyFace Pilot Ratings - rater demographics,7875,131584,NA,guest,0,try,92865403,6,2,2025-05-06T12:06:00Z,2025-05-06T12:06:25Z
155746,1136,ManyFace Pilot Ratings - rater demographics,7875,131585,NA,guest,0,gender,92865399,1,male,2025-05-06T11:32:31Z,2025-05-06T11:33:03Z
155746,1136,ManyFace Pilot Ratings - rater demographics,7875,131585,NA,guest,0,age,92865400,2,25,2025-05-06T11:32:31Z,2025-05-06T11:33:03Z
155746,1136,ManyFace Pilot Ratings - rater demographics,7875,131585,NA,guest,0,residence,92865401,3,CH,2025-05-06T11:32:31Z,2025-05-06T11:33:03Z
155746,1136,ManyFace Pilot Ratings - rater demographics,7875,131585,NA,guest,0,ethnicity,92865402,4,White,2025-05-06T11:32:31Z,2025-05-06T11:33:03Z
155746,1136,ManyFace Pilot Ratings - rater demographics,7875,131585,NA,guest,0,device,92865411,5,laptop,2025-05-06T11:32:31Z,2025-05-06T11:33:03Z
155746,1136,ManyFace Pilot Ratings - rater demographics,7875,131585,NA,guest,0,try,92865403,6,2,2025-05-06T11:32:31Z,2025-05-06T11:33:03Z
155747,1136,ManyFace Pilot Ratings - rater demographics,7875,131586,NA,guest,0,gender,92865399,1,male,2025-05-06T11:40:12Z,2025-05-06T11:41:06Z
155747,1136,ManyFace Pilot Ratings - rater demographics,7875,131586,NA,guest,0,age,92865400,2,36,2025-05-06T11:40:12Z,2025-05-06T11:41:06Z
155747,1136,ManyFace Pilot Ratings - rater demographics,7875,131586,NA,guest,0,residence,92865401,3,ZA,2025-05-06T11:40:12Z,2025-05-06T11:41:06Z
155747,1136,ManyFace Pilot Ratings - rater demographics,7875,131586,NA,guest,0,ethnicity,92865402,4,Black,2025-05-06T11:40:12Z,2025-05-06T11:41:06Z
155747,1136,ManyFace Pilot Ratings - rater demographics,7875,131586,NA,guest,0,device,92865411,5,desktop,2025-05-06T11:40:12Z,2025-05-06T11:41:06Z
155747,1136,ManyFace Pilot Ratings - rater demographics,7875,131586,NA,guest,0,try,92865403,6,2,2025-05-06T11:40:12Z,2025-05-06T11:41:06Z
155748,1136,ManyFace Pilot Ratings - rater demographics,7875,131587,NA,guest,0,gender,92865399,1,female,2025-05-06T11:40:38Z,2025-05-06T11:40:58Z
155748,1136,ManyFace Pilot Ratings - rater demographics,7875,131587,NA,guest,0,age,92865400,2,31,2025-05-06T11:40:38Z,2025-05-06T11:40:58Z
155748,1136,ManyFace Pilot Ratings - rater demographics,7875,131587,NA,guest,0,residence,92865401,3,GB,2025-05-06T11:40:38Z,2025-05-06T11:40:58Z
155748,1136,ManyFace Pilot Ratings - rater demographics,7875,131587,NA,guest,0,ethnicity,92865402,4,Asian,2025-05-06T11:40:38Z,2025-05-06T11:40:58Z
155748,1136,ManyFace Pilot Ratings - rater demographics,7875,131587,NA,guest,0,device,92865411,5,phone,2025-05-06T11:40:38Z,2025-05-06T11:40:58Z
155748,1136,ManyFace Pilot Ratings - rater demographics,7875,131587,NA,guest,0,try,92865403,6,2,2025-05-06T11:40:38Z,2025-05-06T11:40:58Z
155749,1136,ManyFace Pilot Ratings - rater demographics,7875,131589,NA,guest,0,gender,92865399,1,female,2025-05-06T11:40:35Z,2025-05-06T11:41:25Z
155749,1136,ManyFace Pilot Ratings - rater demographics,7875,131589,NA,guest,0,age,92865400,2,36,2025-05-06T11:40:35Z,2025-05-06T11:41:25Z
155749,1136,ManyFace Pilot Ratings - rater demographics,7875,131589,NA,guest,0,residence,92865401,3,PT,2025-05-06T11:40:35Z,2025-05-06T11:41:25Z
155749,1136,ManyFace Pilot Ratings - rater demographics,7875,131589,NA,guest,0,ethnicity,92865402,4,caucasian,2025-05-06T11:40:35Z,2025-05-06T11:41:25Z
155749,1136,ManyFace Pilot Ratings - rater demographics,7875,131589,NA,guest,0,device,92865411,5,desktop,2025-05-06T11:40:35Z,2025-05-06T11:41:25Z
155749,1136,ManyFace Pilot Ratings - rater demographics,7875,131589,NA,guest,0,try,92865403,6,2,2025-05-06T11:40:35Z,2025-05-06T11:41:25Z
155750,1136,ManyFace Pilot Ratings - rater demographics,7875,131588,NA,guest,0,gender,92865399,1,male,2025-05-06T11:42:39Z,2025-05-06T11:43:35Z
155750,1136,ManyFace Pilot Ratings - rater demographics,7875,131588,NA,guest,0,age,92865400,2,27,2025-05-06T11:42:39Z,2025-05-06T11:43:35Z
155750,1136,ManyFace Pilot Ratings - rater demographics,7875,131588,NA,guest,0,residence,92865401,3,US,2025-05-06T11:42:39Z,2025-05-06T11:43:35Z
155750,1136,ManyFace Pilot Ratings - rater demographics,7875,131588,NA,guest,0,ethnicity,92865402,4,Black,2025-05-06T11:42:39Z,2025-05-06T11:43:35Z
155750,1136,ManyFace Pilot Ratings - rater demographics,7875,131588,NA,guest,0,device,92865411,5,laptop,2025-05-06T11:42:39Z,2025-05-06T11:43:35Z
155750,1136,ManyFace Pilot Ratings - rater demographics,7875,131588,NA,guest,0,try,92865403,6,2,2025-05-06T11:42:39Z,2025-05-06T11:43:35Z
155751,1136,ManyFace Pilot Ratings - rater demographics,7875,131590,NA,guest,0,gender,92865399,1,male,2025-05-06T11:36:12Z,2025-05-06T11:45:03Z
155751,1136,ManyFace Pilot Ratings - rater demographics,7875,131590,NA,guest,0,age,92865400,2,43,2025-05-06T11:36:12Z,2025-05-06T11:45:03Z
155751,1136,ManyFace Pilot Ratings - rater demographics,7875,131590,NA,guest,0,residence,92865401,3,IT,2025-05-06T11:36:12Z,2025-05-06T11:45:03Z
