lab_id,model_id,std_ang,std_dis,std_fea,std_hap,std_neu,std_sad,std_sur,unstd_neu,age,ethnicity,ethnicity_rec,face_shape,face_shape-specific,gender,gender_rec,height,height_units,height_cm,weight,weight_units,weight_kg,makeup_blush,makeup_concealer,makeup_eyebrow,makeup_eyelashes,makeup_eyes,makeup_foundation,makeup_lips,makeup_permanent,makeup_semipermanent
MF0010,0007,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,female,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF0010,0008,1,1,1,1,1,1,1,1,63,NA,NA,NA,NA,female,female,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1
MF0010,0009,1,1,1,1,1,1,1,1,60,NA,NA,NA,NA,female,female,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1
MF0010,0010,1,1,1,1,1,1,1,1,80,NA,NA,NA,NA,male,male,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1
MF0010,0011,1,1,1,1,1,1,1,1,33,german,White,1,NA,male,male,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1
MF0010,0012,1,1,1,1,1,1,1,1,27,turkish,Middle Eastern or North African (MENA),1,NA,female,female,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1
MF0010,0013,1,1,1,1,1,1,1,1,65,german,White,NA,NA,female,female,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1
MF0010,0014,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,male,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF0011,0001,1,1,1,1,1,1,1,0,26,german,White,1,"Brocken nose, But no Sugery",female,female,173,cm,173,108,kg,108,1,1,1,1,1,1,1,1,1
MF0011,0002,1,1,1,1,1,1,1,1,25,german,White,1,/,female,female,174,cm,174,62,kg,62,2,2,2,1,2,1,2,1,1
MF0011,0003,1,1,1,1,1,1,1,1,26,german,White,1,NA,female,female,179,cm,179,56,kg,56,1,1,2,1,1,1,1,1,1
MF0011,0004,1,1,1,1,1,1,1,1,24,german/argentinien,White,1,no,female,female,180,cm,180,63,kg,63,1,1,1,1,1,1,1,1,1
MF0011,0005,1,1,1,1,1,1,1,0,22,german,White,1,NA,male,male,180,cm,180,75,kg,75,1,1,1,1,1,1,1,1,1
MF0011,0006,1,1,1,1,1,1,1,1,25,caucasian,White,2,wisdom teeth removal,male,male,188,cm,188,89,kg,89,1,1,1,1,1,1,1,1,1
MF0011,0007,1,1,1,1,1,1,1,0,24,german,White,1,NA,female,female,175,cm,175,78,kg,78,1,2,1,1,1,1,1,1,1
MF0011,0008,1,1,1,1,1,1,1,1,27,caucasian,White,1,no,female,female,178,cm,178,70,kg,70,1,1,1,1,1,1,1,1,1
MF0011,0009,1,1,1,1,1,1,1,1,31,german,White,1,NA,male,male,169,cm,169,80,kg,80,1,1,1,1,1,1,1,1,1
MF0011,0010,1,1,1,1,1,1,1,0,30,caucasian,White,1,NA,NA,NA,167,cm,167,60,kg,60,1,1,1,1,1,1,1,1,1
MF0011,0011,1,1,1,1,1,1,1,1,23,"german, swedish",White,1,no,female,female,170,cm,170,85,kg,85,1,2,1,1,1,1,1,1,1
MF0012,0001,1,1,1,1,1,1,1,1,26,israeli,Middle Eastern or North African (MENA),1,-,female,female,173,cm,173,65,kg,65,1,1,1,1,1,1,1,1,1
MF0012,0002,1,1,1,1,1,1,1,1,25,israeli,Middle Eastern or North African (MENA),1,-,male,male,193,cm,193,130,kg,130,1,1,1,1,1,1,1,1,1
MF0012,0003,1,1,1,1,1,1,1,1,24,israel,Middle Eastern or North African (MENA),1,NA,female,female,162,cm,162,71,kg,71,1,1,1,1,1,1,1,1,1
MF0012,0004,1,1,1,1,1,1,1,1,21,israeli,Middle Eastern or North African (MENA),1,NA,female,female,157,cm,157,52,kg,52,1,1,1,1,1,1,1,1,1
MF0012,0005,0,1,1,1,1,1,1,1,29,israeli,Middle Eastern or North African (MENA),1,-,female,female,164,cm,164,60,kg,60,1,1,1,1,1,1,1,1,1
MF0012,0006,1,1,1,1,1,1,1,1,25,israeli,Middle Eastern or North African (MENA),1,NA,male,male,182,cm,182,77,kg,77,1,1,1,1,1,1,1,1,1
MF0012,0007,1,1,1,1,1,1,1,1,25,israeli,Middle Eastern or North African (MENA),1,-,male,male,193,cm,193,130,kg,130,1,1,1,1,1,1,1,1,1
MF0012,0008,1,1,0,1,1,1,1,1,26,middle eastern/white,Mixed,1,-,female,female,173,cm,173,65,kg,65,1,1,1,1,1,1,1,1,1
MF0012,0009,1,1,0,1,1,0,1,1,22,muslim,Middle Eastern or North African (MENA),1,-,female,female,158,cm,158,52,kg,52,1,1,1,1,2,1,2,1,1
MF0012,0010,1,1,1,1,1,1,1,1,29,israeli.,Middle Eastern or North African (MENA),1,-,female.,female,164,cm,164,60,kg,60,1,1,1,1,1,1,1,1,1
MF0013,0002,1,1,1,1,1,1,1,1,23,chinese,Asian,1,NA,female,female,160,cm,160,50,kg,50,1,1,1,1,1,1,1,1,1
