ID,std_ang,std_dis,std_fea,std_hap,std_neu,std_sad,std_sur,unstd_neu,age,ethnicity,face_shape,face_shape-specific,gender,height,height_units,makeup_blush,makeup_concealer,makeup_eyebrow,makeup_eyelashes,makeup_eyes,makeup_foundation,makeup_lips,makeup_permanent,makeup_semipermanent,weight,weight_units
MF0016_0001,1,1,1,1,1,1,1,1,23,ninguno,1,NA,mujer,170,cm,1,1,1,1,1,1,1,1,1,53,kg
MF0016_0002,1,1,1,1,1,1,1,1,23,Ninguno,1,NA,Femenino,150,cm,1,1,1,1,1,1,1,1,1,50,kg
MF0016_0003,1,1,1,1,1,1,1,1,20,MEXICANA,1,NA,FEMENINO,155,cm,1,1,1,1,1,2,1,1,1,45,kg
MF0016_0004,1,1,1,1,1,1,1,1,24,Mexicano,1,NA,MascÃºlino,175,cm,1,1,1,1,1,1,1,1,1,89,kg
MF0016_0005,1,1,1,1,1,1,1,1,22,Ninguno,1,NA,Masculino,175,cm,1,1,1,1,1,1,1,1,1,68,kg
MF0016_0006,1,1,1,1,1,1,1,1,22,latino,2,Ortodoncia,Masculino,179,cm,2,1,1,1,1,1,1,1,1,71,kg
MF0016_0007,1,1,1,1,1,1,1,1,22,NINGUNO,2,ME FRACTURÃ‰ EL TABIQUE DE LA NARIZ,FEMENINO,152,cm,1,1,1,1,1,1,1,1,1,46,kg
MF0016_0008,1,1,1,1,1,1,1,1,48,Mexicana,1,NA,Mujer,162,cm,2,2,1,1,1,2,1,1,1,63,kg
MF0016_0009,1,1,1,1,1,1,1,1,28,Latino,1,NA,Masculino,163,cm,1,1,1,1,1,1,1,1,1,56,kg
MF0016_0010,1,1,1,1,1,1,1,1,21,NINGUNO,1,NA,FEMENINO,156,cm,1,1,1,1,1,1,1,1,1,60,kg
MF0017_0004,1,1,1,1,1,1,1,1,18,Caucasian,1,NA,Male,174,cm,1,1,1,1,1,1,1,1,1,74,kg
MF0017_0005,1,1,1,1,1,1,1,1,20,Eastern European,1,NA,Female,168,cm,1,1,1,1,1,1,1,1,1,53,kg
MF0017_0006,1,1,1,1,1,1,1,1,35,South american,1,NA,Female,160,cm,2,2,1,1,2,2,2,1,1,50,kg
MF0017_0007,0,0,0,0,1,0,0,1,24,Dutch,1,NA,Male,181,cm,1,1,1,1,1,1,1,1,1,82,kg
MF0017_0008,1,1,1,1,1,1,1,1,23,White,1,NA,Male,184,cm,1,1,1,1,1,1,1,1,1,62,kg
MF0017_0009,1,1,1,1,1,0,0,1,18,Turkish,1,No,Female,170,cm,1,1,1,1,2,1,1,1,1,60,kg
MF0017_0010,0,0,0,0,1,0,0,1,19,White,2,Orthodontic work to bring teeth forward\n,Male,186,cm,1,1,1,1,1,1,1,1,1,105,kg
MF0017_0011,0,0,0,0,1,0,0,1,18,White,2,I have had braces in the past,Female,62,in,1,1,1,1,1,1,1,1,1,135,lb
MF0017_0013,0,0,0,0,1,0,0,1,19,Croatian,1,NA,Female,163,cm,1,1,1,1,1,1,1,1,1,66,kg
MF0018_0001,1,1,1,1,1,1,1,1,22,serbian,1,NA,m,183,cm,1,1,1,1,1,1,1,1,1,85,kg
MF0018_0002,1,1,1,1,1,1,1,1,22,serbian,2,scar on forehead\n,f,172,cm,1,1,1,1,1,1,1,1,1,60,kg
MF0018_0003,1,1,1,1,1,1,1,1,23,serbian,1,NA,f,164,cm,1,1,1,1,1,1,1,1,1,56,kg
MF0018_0004,1,1,1,1,1,1,1,1,23,serbian,1,NA,f,173,cm,1,1,1,1,1,1,1,1,1,87,kg
MF0018_0005,1,1,1,1,1,1,1,1,29,serbian,1,NA,f,169,cm,1,1,1,1,1,1,1,1,1,54,kg
MF0018_0006,1,1,1,1,1,1,1,1,33,serbian,1,NA,m,187,cm,1,1,1,1,1,1,1,1,1,92,kg
MF0018_0007,1,1,1,1,1,1,1,1,33,serbian,1,NA,f,173,cm,1,1,1,1,1,1,1,1,1,73,kg
MF0018_0008,1,1,1,1,1,1,1,1,37,serbian,1,NA,m,190,cm,1,1,1,1,1,1,1,1,1,72,kg
MF0018_0009,1,1,1,1,1,1,1,0,26,serbian,1,NA,f,159,cm,1,1,1,1,1,1,1,2,1,54,kg
MF0018_0010,1,1,1,1,1,1,1,1,27,serbian,1,NA,f,175,cm,1,1,1,1,1,1,1,1,1,58,kg
MF0018_0011,1,1,1,1,1,1,1,1,22,serbian,1,NA,m,170,cm,1,1,1,1,1,1,1,1,1,80,kg
MF0021_0001,1,1,1,1,1,1,1,1,25,Romanian,1,NA,F,161,cm,1,1,1,1,1,1,1,1,1,54,kg
MF0021_0002,1,1,1,1,1,1,1,1,23,Pakistani,2,Nose operation,Female,150,cm,1,1,1,1,1,1,1,1,1,55,kg
MF0021_0003,0,0,0,1,1,0,0,1,21,White - other,1,NA,Female,165,cm,1,1,1,1,1,1,1,1,1,65,kg
MF0021_0004,1,1,1,1,1,1,1,1,20,Pakistani,1,NA,Male,170,cm,1,1,1,1,1,1,1,1,1,71,kg
MF0021_0005,0,0,0,1,1,1,1,1,19,Indian,1,NA,Female,153,cm,1,1,1,1,1,1,1,1,1,50,kg
MF0021_0006,1,1,1,1,1,1,1,1,19,Indian,1,NA,Female,169,cm,1,1,1,1,1,1,1,1,1,65,kg
MF0021_0007,1,1,1,1,1,1,1,1,20,Indian,1,NA,Female,160,cm,1,1,1,1,1,1,1,1,1,63,kg
MF0021_0008,1,1,1,1,1,1,1,1,20,British Indian,1,NA,Male,177,cm,1,1,1,1,1,1,1,1,1,60,kg
MF0021_0009,1,1,1,1,1,1,1,1,32,Black,1,NA,Male,180,cm,1,1,1,1,1,1,1,1,1,95,kg
MF0021_0010,1,1,1,1,1,1,1,1,19,Indian,1,NA,Male,68,in,1,1,1,1,1,1,1,1,1,61,kg
MF0022_0001,0,0,0,1,1,0,0,1,36,White British,1,NA,M,185,cm,1,1,1,1,1,1,1,1,1,85,kg
MF0022_0002,0,0,0,1,1,0,0,1,24,White,1,NA,Female,178,cm,1,1,1,1,2,1,1,1,1,85,kg
MF0022_0003,0,0,0,1,1,0,0,1,20,Asian (Indian),1,NA,Female,158,cm,1,1,1,1,1,1,1,1,1,60,kg
MF0022_0004,0,0,0,1,1,0,0,1,25,White British,1,NA,Non-Binary,173,cm,1,1,1,1,1,1,1,1,1,70,kg
MF0022_0005,0,0,0,1,1,0,0,1,31,White British,2,Broken Nose,Male,183,cm,1,1,1,1,1,1,1,1,1,93,kg
MF0022_0006,0,0,0,1,1,0,0,1,19,Hispanic,1,NA,Male,171,cm,1,1,1,1,1,1,1,1,1,54,kg
MF0022_0007,0,0,0,1,1,0,0,1,24,White British,1,NA,non-binary,170,cm,1,2,2,1,2,1,1,1,1,69,kg
MF0022_0008,0,0,0,1,1,0,0,1,20,White British,2,Braces to correct overbite,Male,175,cm,1,1,1,1,1,1,1,1,1,62,kg
MF0022_0009,0,0,0,1,1,0,0,1,34,White British,2,Broken Nose,Male,173,cm,1,1,1,1,1,1,1,1,1,69,kg
MF0022_0010,0,0,0,1,1,0,0,1,20,Mixed White & Asian,1,NA,Female,173,cm,1,1,1,1,1,1,1,1,1,63,kg
MF0023_0001,1,1,1,1,1,1,1,1,37,BRITISH WHITE,1,N/A,FEMALE,164,cm,2,1,1,1,2,2,2,1,2,97,kg
MF0023_0002,1,1,1,1,1,1,1,1,29,white britisg,1,N/A,female,157,cm,2,2,2,1,2,2,1,1,1,70,kg
MF0023_0003,1,1,1,1,1,1,1,1,28,British,1,n/a,female,171,cm,1,1,1,1,1,1,1,1,1,87,kg
MF0023_0004,1,1,1,1,1,1,1,1,37,White British,1,NA,Female,170,cm,1,1,1,1,1,1,1,1,1,65,kg
MF0023_0005,1,1,1,1,1,1,1,1,61,mix white/black,1,NA,male,182,cm,1,1,1,1,1,1,1,1,1,108,kg
MF0023_0006,1,1,1,1,1,1,1,0,25,Indian,1,NA,Male,178,cm,1,1,1,1,1,1,1,1,1,83,kg
MF0023_0007,1,1,1,1,1,1,1,1,33,Middle Eastern,1,NA,Female,162,cm,1,1,1,1,2,2,1,1,1,59,kg
MF0023_0008,1,1,1,1,1,1,1,1,28,Arab,2,Orthodontic work,Female,164,cm,1,1,1,1,1,1,1,2,1,50,kg
MF0023_0009,1,1,1,1,1,1,1,1,39,White-French,1,NA,Male,190,cm,1,1,1,1,1,1,1,1,1,82,kg
MF0023_0010,1,1,1,1,1,1,1,1,29,Latino,1,n/a,Male,174,cm,1,1,1,1,1,1,1,1,1,78,kg
MF0024_0001,1,1,1,1,1,1,1,1,48,white european,1,no,trans woman,179,cm,1,1,1,1,1,1,1,1,1,88,kg
MF0024_0002,1,1,1,1,1,1,1,1,55,White British,1,.,Female,164,cm,2,2,2,1,2,2,1,1,1,80,kg
MF0024_0003,1,1,1,1,1,1,1,1,26,white,1,NA,female,163,cm,NA,NA,2,NA,2,NA,NA,NA,NA,60,kg
MF0024_0004,1,1,1,1,1,1,1,1,29,White British,1,NA,Male,191,cm,1,1,1,1,1,1,1,1,1,83,kg
MF0024_0005,1,1,1,1,1,1,1,1,23,White,1,NA,Female,167,cm,1,1,1,1,1,1,1,1,1,107,kg
MF0024_0006,1,1,1,1,1,1,1,1,23,white,1,NA,female,163,cm,1,1,1,1,1,1,1,1,1,54,kg
MF0024_0007,1,1,1,1,1,1,1,1,29,Asian,1,n/a,Male,174,cm,1,1,1,1,1,1,1,1,1,74,kg
MF0024_0008,1,1,1,1,1,1,1,1,20,White-Scottish,1,NA,Male,180,cm,1,1,1,1,1,1,1,1,1,65,kg
MF0024_0009,1,1,1,1,1,1,1,1,22,Jewish,1,NA,Male,187,cm,1,1,1,1,1,1,1,1,1,84,kg
MF0024_0010,1,1,1,1,1,1,1,1,44,White Scottish,1,NA,F,165,cm,1,1,1,1,1,1,1,1,1,55,kg
